,Mean,Median,Mode,Min,Max,Std Dev,Variance,Skewness,Kurtosis,Count,Missing Values
passenger_count,1.5819095477386935,1.0,1.0,0.0,6.0,0.9116253266978451,0.8310607362769529,1.6643298072083297,2.827890429140433,995.0,0.0
trip_distance,2.8904723618090453,1.96,0.9,0.0,23.9,3.125267807919388,9.767298871217255,3.2881722319456728,13.975566356327981,995.0,0.0
fare_amount,18.27859296482412,14.2,6.5,-47.8,180.0,14.916422223234436,222.49965194180214,3.0124402462143554,20.739872581623793,995.0,0.0
total_amount,26.84753768844221,22.2,16.32,-52.8,217.2,18.09201780111972,327.32110811603286,3.025343707163598,20.194070844679576,995.0,0.0
tip_amount,3.4831457286432164,3.0,0.0,0.0,80.0,4.195506992895371,17.602278927433957,7.328237374284674,115.48564563902166,995.0,0.0
extra,1.741457286432161,1.0,1.0,-1.0,7.75,1.2557422981050455,1.5768887192501408,1.1496210281653165,0.7179873692663397,995.0,0.0
